"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Alias","Assignee Real Name","Blocks","Classification","Deadline","Depends on","Flags","Hardware","Keywords","Last Visit","Number of Comments","Opened","OS","Personal Tags","Priority","QA Contact","QA Contact Real Name","Reporter","Reporter Real Name","Severity","Summary","Target Milestone","URL","Version","Votes","Whiteboard"
237054,"z_Archived","TPTP","xubing","CLOSED","FIXED","NoSuchMethodError when starting the org.eclipse.tptp.platform.common plug-in.","2016-05-05 10:53:37",,"Bing Xu",,"Eclipse Foundation",,,,"All",,,11,"2008-06-13 07:31:36","All",,"P1",,,"paulslau","Paul Slauenwhite","blocker","NoSuchMethodError when starting the org.eclipse.tptp.platform.common plug-in."," ---",,"unspecified",0,
254085,"MDT","Releng","mdt-releng-inbox","CLOSED","FIXED","New & Noteworthy","2016-10-06 13:04:54",,"Dummy mdt releng inbox",252805,"Modeling",,,"galileo+","All",,,9,"2008-11-05 18:03:47","All",,"P1",,,"anne.jacko","Anne Jacko","blocker","New & Noteworthy","RC",,"unspecified",0,
191078,"z_Archived","TPTP","ewchan","CLOSED","FIXED","org.eclipse.tptp.platform.rcp.common plugin missing about.html file","2016-05-05 10:48:46",,"Eugene Chan",,"Eclipse Foundation",,,,"PC",,,9,"2007-06-05 12:58:18","Windows 2000",,"P1",,,"smith","Dave Smith","blocker","org.eclipse.tptp.platform.rcp.common plugin missing about.html file"," ---",,"unspecified",0,
558122,"Community","Infrastructure","webmaster","RESOLVED","FIXED","Capella HIPP cannot clone repositories","2017-08-04 10:59:33",,"Eclipse Webmaster",,"Eclipse Foundation",,,,"All",,,8,"2017-04-20 07:24:44","All",,"P1",,,"jean.barata","Jean Barata","blocker","Capella HIPP cannot clone repositories"," ---",,"unspecified",0,1558
278437,"z_Archived","TPTP","yunan.he","CLOSED","FIXED","Apache Tomcat profiling crashes with Thread Analysis","2016-05-05 10:42:14",,"Yunan, He",,"Eclipse Foundation",,,"pmc_approved+, pmc_approved?, review+","PC",,,24,"2009-05-29 14:46:28","Windows XP",,"P1","kathy","Kathy Chan","ewchan","Eugene Chan","blocker","Apache Tomcat profiling crashes with Thread Analysis"," ---",,"unspecified",0,
175264,"z_Archived","TPTP","igor.alelekov","CLOSED","DUPLICATE","Agent Controller will not start on Linux.","2016-05-05 10:51:15",,"Igor Alelekov",161096,"Eclipse Foundation",,,,"PC",,,48,"2007-02-23 08:02:00","Linux",,"P1",,,"paulslau","Paul Slauenwhite","blocker","Agent Controller will not start on Linux."," ---",,"unspecified",0,
183454,"z_Archived","TPTP","nmehrega","CLOSED","FIXED","TPTP test cases can't be launched with new IAC","2016-05-05 10:51:03",,"Navid Mehregani",,"Eclipse Foundation",,,,"PC",,,4,"2007-04-20 16:08:45","Windows XP",,"P1",,,"nmehrega","Navid Mehregani","blocker","TPTP test cases can't be launched with new IAC"," ---",,"unspecified",0,"closed460"
218550,"z_Archived","TPTP","paulslau","CLOSED","FIXED","Test Reports contain no data.","2016-05-05 10:31:29",,"Paul Slauenwhite",,"Eclipse Foundation",,218578,"review+","All",,,14,"2008-02-11 15:02:24","All",,"P1",,,"paulslau","Paul Slauenwhite","blocker","Test Reports contain no data."," ---",,"unspecified",0,
140434,"z_Archived","TPTP","andrew.kaylor","CLOSED","WORKSFORME","Windows-IPF AC bombs if plugins there","2016-05-05 10:51:41",,"Andy Kaylor",,"Eclipse Foundation",,,,"PC",,,5,"2006-05-05 16:48:08","Windows Server 2003",,"P1",,,"randy.d.smith","Randy D. Smith","blocker","Windows-IPF AC bombs if plugins there"," ---",,"unspecified",0,"closed460"
561045,"EGit","Releng","egit.releng-inbox","CLOSED","FIXED","Missing metadata from egit p2 repos","2020-03-13 09:56:40",,"Project Inbox",,"Technology",,,,"PC",,,19,"2020-03-12 02:23:44","Windows 10",,"P1",,,"sravankumarl","Sravan Kumar Lakkimsetti","blocker","Missing metadata from egit p2 repos"," ---",,"unspecified",0,
