"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Alias","Assignee Real Name","Blocks","Classification","Deadline","Depends on","Flags","Hardware","Keywords","Last Visit","Number of Comments","Opened","OS","Personal Tags","Priority","QA Contact","QA Contact Real Name","Reporter","Reporter Real Name","Severity","Summary","Target Milestone","URL","Version","Votes","Whiteboard"
501930,"Community","API.eclipse.org","api-inbox","RESOLVED","FIXED","Leverage/configure cross-origin resource sharing on api.eclipse.org","2016-11-07 15:10:26",,"API.eclipse.org inbox","493458, 501861","Eclipse Foundation",,,,"PC",,,6,"2016-09-21 11:50:07","Mac OS X",,"P2",,,"chris.guindon","Christopher Guindon","blocker","Leverage/configure cross-origin resource sharing on api.eclipse.org"," ---",,"unspecified",0,
550976,"Community","Accounts.eclipse.org","eric.poirier","RESOLVED","FIXED","Authorization prompt buttons are unusable on some smaller devices","2019-09-23 09:00:59",,"Eric Poirier",,"Eclipse Foundation",,,,"PC",,,3,"2019-09-11 10:04:13","All",,"P2",,,"cpetrov","Christian Petrov","blocker","Authorization prompt buttons are unusable on some smaller devices"," ---",,"unspecified",0,
390800,"Jubula","UI","Achim.Loerke","CLOSED","FIXED","Unable to edit data in Data Sets View","2016-03-10 04:22:48",,"Achim Loerke",,"Technology",,388574,,"Macintosh",,,7,"2012-10-01 04:49:03","Mac OS X",,"P2","Oliver.Goetz","Oliver Goetz","zeb.ford-reitz","Zeb Ford-Reitz","blocker","Unable to edit data in Data Sets View","Kepler",,"1.2.1",0,
527684,"WTP Java EE Tools","wst.web","wst.web-inbox","RESOLVED","FIXED","remove org.eclipse.wst.web.ui.infopop, org.eclipse.wst.web and org.eclipse.wst.web.ui from main javaee mvn reactor since they've moved to sourceediting repo","2017-12-18 15:38:57",,"wst.web",,"WebTools",,,,"PC",,,6,"2017-11-23 09:54:07","Linux",,"P2","cbridgha","Chuck Bridgham","nboldt","Nick Boldt","blocker","remove org.eclipse.wst.web.ui.infopop, org.eclipse.wst.web and org.eclipse.wst.web.ui from main javaee mvn reactor since they've moved to sourceediting repo"," ---",,3.10,1,"RHT"
372312,"z_Archived","Recommenders","marcel.bruch","CLOSED","FIXED","Downloading recommendation model fails","2019-07-24 14:35:51",,"Marcel Bruch",,"Eclipse Foundation",,372131,,"PC",,,20,"2012-02-23 04:56:01","Linux",,"P2",,,"hanriseldon","Eugen Paraschiv","blocker","Downloading recommendation model fails"," ---",,"unspecified",0,
499858,"Community","Marketplace","chris.guindon","RESOLVED","FIXED","Create 4.7/Oxygen target on Marketplace","2016-11-07 14:37:35",,"Christopher Guindon",505921,"Eclipse Foundation",,,,"All",,,4,"2016-08-17 14:32:43","All",,"P2",,,"mistria","Mickael Istria","blocker","Create 4.7/Oxygen target on Marketplace"," ---",,"unspecified",0,
122809,"z_Archived","TPTP","scott.schneider","CLOSED","DUPLICATE","Launching test suites gets stuck at 57%","2016-05-05 10:36:48",,"Scott E. Schneider",,"Eclipse Foundation",,,,"PC",,,6,"2006-01-05 16:06:11","Windows XP",,"P2",,,"amehrega",,"blocker","Launching test suites gets stuck at 57%"," ---",,"unspecified",0,
319118,"z_Archived","TPTP","jerome.bozier","CLOSED","WORKSFORME","getBody() method seems null","2016-05-05 10:32:02",,"Bozier jerome",,"Eclipse Foundation",,,,"PC",,,5,"2010-07-07 08:37:41","Windows XP",,"P2","kathy","Kathy Chan","murthy.killada","Murthy Killada","blocker","getBody() method seems null"," ---",,"unspecified",0,
125032,"WTP ServerTools","jst.server","deboer","CLOSED","FIXED","Projects with Jonas or Websphere servers do not have a server classpath container","2017-10-11 15:57:22",,"Tim deBoer",,"WebTools",,,,"PC",,,16,"2006-01-24 12:47:38","Windows XP",,"P2",,,"jlanuti","John Lanuti","blocker","Projects with Jonas or Websphere servers do not have a server classpath container","1.0.1 M101",,"1.0.1",0,
573632,"JDT","Core","stephan.herrmann","VERIFIED","FIXED","[content assist] Content assist is not working anymore after ""if""","2021-10-28 08:53:02",,"Stephan Herrmann",,"Eclipse Project",,,,"PC","regression",,26,"2021-05-19 05:46:44","Linux",,"P2",,,"loskutov","Andrey Loskutov","blocker","[content assist] Content assist is not working anymore after ""if""","4.20 RC1",,4.20,0,
485785,"Drupal","Eclipsecon","drupal.eclipsecon-inbox","RESOLVED","FIXED","FOSS4G NA 2016: please enable supporter sponsor feature","2016-02-11 11:45:35",,"Project Inbox",,"Eclipse Foundation",,,,"All",,,19,"2016-01-13 14:12:39","All",,"P2",,,"andrea.ross","Andrea Ross","blocker","FOSS4G NA 2016: please enable supporter sponsor feature"," ---",,"unspecified",0,
575148,"Community","CI-Jenkins","ci.admin-inbox","CLOSED","DUPLICATE","Missing build nodes","2021-09-20 03:10:54",,"CI Admin Inbox",,"Eclipse Foundation",,,,"PC",,,10,"2021-07-31 12:22:31","Linux",,"P2",,,"laeubi","Christoph Laeubrich","blocker","Missing build nodes"," ---",,"unspecified",0,
118727,"WTP ServerTools","jst.server","deboer","CLOSED","FIXED","Unable to set web module path in server document","2017-10-11 15:55:39",,"Tim deBoer",,"WebTools",,,,"PC",,,17,"2005-11-30 18:22:05","Windows XP",,"P2",,,"danjou","Jim DAnjou","blocker","Unable to set web module path in server document","1.0 M10",,1.0,0,
559938,"Community","Infrastructure","webmaster","RESOLVED","FIXED","No SDK build I20200207-1800, Gerrit / jenkins login broken, no links to bugzilla, no builds on new patches","2020-02-25 14:50:55",,"Eclipse Webmaster",553755,"Eclipse Foundation",,,,"All",,,58,"2020-02-08 02:51:28","All",,"P2",,,"loskutov","Andrey Loskutov","blocker","No SDK build I20200207-1800, Gerrit / jenkins login broken, no links to bugzilla, no builds on new patches"," ---",,"unspecified",0,
277941,"z_Archived","TPTP","jcayne","CLOSED","FIXED","JVM error from IAC configured to use 1.4.2 JRE on linux","2016-05-05 10:50:33",,"Joel Cayne",,"Eclipse Foundation",,,,"PC",,,4,"2009-05-26 16:04:25","Linux",,"P2","kathy","Kathy Chan","haggarty","Alan Haggarty","blocker","JVM error from IAC configured to use 1.4.2 JRE on linux"," ---",,"unspecified",0,"closed471"
544124,"Community","CI-Jenkins","anand.francis.joseph.augustin","CLOSED","FIXED","Grizzly-JIPP - Migration to new Jenkins build environment","2020-05-28 13:10:56",,"Anand Francis Joseph",,"Eclipse Foundation",,,,"PC",,,21,"2019-02-05 04:33:18","Windows 10",,"P2",,,"anand.francis.joseph.augustin","Anand Francis Joseph","blocker","Grizzly-JIPP - Migration to new Jenkins build environment"," ---",,"unspecified",0,
512230,"Community","My Account","phoenix.ui-inbox","RESOLVED","FIXED","Create bugzilla/gerrit account with ldap account creator script","2017-03-02 11:24:21",,"phoenix.ui",499447,"Eclipse Foundation",,,,"PC",,,2,"2017-02-15 09:57:42","Mac OS X",,"P2",,,"chris.guindon","Christopher Guindon","blocker","Create bugzilla/gerrit account with ldap account creator script"," ---",,"unspecified",0,
516277,"Orion","Server","Michael_Rennie","CLOSED","DUPLICATE","Exception when launching server","2017-06-21 11:06:14",,"Michael Rennie",,"ECD",,,,"PC",,,2,"2017-05-06 10:25:56","Windows 10",,"P2",,,"alain.couthures","Alain COUTHURES","blocker","Exception when launching server",15.0,,14.0,0,
136363,"z_Archived","TPTP","sleeloy","CLOSED","FIXED","Tabular Test Reports show test suites that references other testsuites","2016-05-05 10:30:53",,"Sheldon Lee-Loy",,"Eclipse Foundation",,,,"All",,,4,"2006-04-12 12:02:16","All",,"P2",,,"sleeloy","Sheldon Lee-Loy","blocker","Tabular Test Reports show test suites that references other testsuites"," ---",,"unspecified",0,
117235,"WTP ServerTools","jst.server","sinan.konya","CLOSED","FIXED","Unable to create app client with a valid server defined","2017-10-11 15:54:59",,"Sinan Konya",,"WebTools",,,,"PC",,,5,"2005-11-20 19:04:56","Windows XP",,"P2",,,"vbhadrir","Vijay Bhadriraju","blocker","Unable to create app client with a valid server defined","1.0 M10",,1.0,0,
560342,"Community","CI-Jenkins","ci.admin-inbox","CLOSED","FIXED","GPG key for Tyrus","2020-02-26 11:09:12",,"CI Admin Inbox",,"Eclipse Foundation",,,,"PC",,,6,"2020-02-20 06:20:38","Linux",,"P2",,,"maxim.nesen","Maxim Nesen","blocker","GPG key for Tyrus"," ---",,"unspecified",0,
554126,"Capella","Core","ali.akar82","VERIFIED","FIXED","[REGRESSION][MARS] Error when opening the user profile preference page","2016-05-03 11:08:40",,"Ali AKAR",,"Polarsys",,,,"All",,,5,"2016-04-19 09:38:56","All",,"P2",,,"ali.akar82","Ali AKAR","blocker","[REGRESSION][MARS] Error when opening the user profile preference page","1.1.0",,"1.1.0",0,897
396051,"MoDisco","Infrastructure","gdupe","RESOLVED","FIXED","Export Package org.eclipse.modisco.kdm.source.extension.util","2016-05-20 10:48:39",,"Gregoire Dupe",479057,"Modeling",,,"kepler+, luna+","All",,,7,"2012-12-07 09:53:15","All",,"P2",,,"klatt","Benjamin Klatt","blocker","Export Package org.eclipse.modisco.kdm.source.extension.util","1.0.0 M3",,"0.10.1",0,
400757,"EclipseLink","JPA","eclipselink.orm-inbox","NEW"," ---","EmbeddableTypeImpl cannot be cast to javax.persistence.metamodel.IdentifiableType","2019-03-01 04:55:04",,"Project Inbox",,"EE4J",,,,"All",,,3,"2013-02-14 00:54:25","All",,"P2",,,"gaurav.gharat","Gaurav Gharat","blocker","EmbeddableTypeImpl cannot be cast to javax.persistence.metamodel.IdentifiableType","Future",,"unspecified",9,
457071,"Platform","Releng","david_williams","VERIFIED","FIXED","Inconsistencies in org.eclipes.rcp.configuration for Mac OS X platform","2017-04-24 09:29:09",,"David Williams",,"Eclipse Project",,457856,"review+","PC",,,31,"2015-01-08 13:40:05","Mac OS X",,"P2",,,"polomm","Leopoldo (Polo) Miranda","blocker","Inconsistencies in org.eclipes.rcp.configuration for Mac OS X platform","4.4.2",,"4.4.1",0,
551703,"Community","CI-Jenkins","ci.admin-inbox","CLOSED","FIXED","https://jenkins.eclipse.org/jaxws/ and /jaxb/ jobs failing","2019-10-02 09:34:10",,"CI Admin Inbox",,"Eclipse Foundation",,,,"PC",,,6,"2019-10-02 08:13:35","Linux",,"P2",,,"maxim.nesen","Maxim Nesen","blocker","https://jenkins.eclipse.org/jaxws/ and /jaxb/ jobs failing"," ---",,"unspecified",0,
518659,"Orion","Client","caseyflynn","RESOLVED","FIXED","Remove usages of includes() in explorer-table","2017-06-22 21:30:25",,"Casey Flynn",,"ECD",,,,"PC",,,3,"2017-06-22 14:48:24","Linux",,"P2","caseyflynn","Casey Flynn","caseyflynn","Casey Flynn","blocker","Remove usages of includes() in explorer-table",15.0,,14.0,0,
558094,"Community","Infrastructure","webmaster","RESOLVED","FIXED","Polarsys online documentation server is down","2016-06-16 09:31:16",,"Eclipse Webmaster",,"Eclipse Foundation",,,,"PC",,,2,"2016-06-13 09:13:17","Windows 10",,"P2",,,"christophe.gatti","Christophe Gatti","blocker","Polarsys online documentation server is down"," ---",,"unspecified",0,1003
507503,"Oomph","Setup","Ed.Merks","RESOLVED","FIXED","org.eclipse.swt.SWTException: Invalid thread access","2016-11-15 04:28:15",,"Ed Merks",,"Tools",,,,"PC",,,3,"2016-11-14 13:20:38","Linux",,"P2",,,"mike","Michael Vorburger","blocker","org.eclipse.swt.SWTException: Invalid thread access"," ---",,"1.6.0",0,
119630,"z_Archived","TPTP","samwai","CLOSED","DUPLICATE","[IAC] Eclipse crashes after short time","2016-05-05 11:02:02",,"Samson Wai",,"Eclipse Foundation",,,,"PC",,,8,"2005-12-07 09:18:05","Windows 2000",,"P2",,,"mhilpert","MH","blocker","[IAC] Eclipse crashes after short time"," ---",,"unspecified",0,"closed471"
147730,"z_Archived","TPTP","jptoomey","CLOSED","FIXED","File transfer service is extremely slow when running secure AC","2016-05-05 10:50:49",,"Joe Toomey",,"Eclipse Foundation",,,,"PC",,,19,"2006-06-19 10:43:39","Windows XP",,"P2",,,"amehrega",,"blocker","File transfer service is extremely slow when running secure AC"," ---",,"unspecified",0,
518662,"Orion","Client","caseyflynn","RESOLVED","FIXED","Use correct key for lookup","2017-06-22 16:45:44",,"Casey Flynn",,"ECD",,,,"PC",,,3,"2017-06-22 15:55:54","Linux",,"P2","caseyflynn","Casey Flynn","caseyflynn","Casey Flynn","blocker","Use correct key for lookup",15.0,,14.0,0,
555291,"Capella","Releng","felix.dorner","RESOLVED","FIXED","Experimental Platform Build does not start","2016-02-10 05:44:41",,"Felix Dorner",,"Polarsys",,,,"PC",,,4,"2016-01-08 05:50:32","Windows 10",,"P2",,,"felix.dorner","Felix Dorner","blocker","Experimental Platform Build does not start","1.1.0",,"1.0.0",0,709
272462,"z_Archived","TPTP","paulslau","CLOSED","WORKSFORME","Tur3.5 & DBCS3.5 - Run TPTP JUnit Test failed","2016-05-05 10:31:19",,"Paul Slauenwhite",,"Eclipse Foundation",,,,"PC",,,26,"2009-04-16 05:10:03","Linux",,"P2",,,"hmkung","Steven Kung","blocker","Tur3.5 & DBCS3.5 - Run TPTP JUnit Test failed"," ---",,"unspecified",0,"enablement"
503388,"Community","CI-Jenkins","ci.admin-inbox","RESOLVED","FIXED","Unable to access eclipse update sites from releng hipp","2018-08-20 08:50:42",,"CI Admin Inbox",,"Eclipse Foundation",,"498025, 505670, 505906, 506193",,"PC",,,40,"2016-10-04 09:31:24","All",,"P2",,,"sravankumarl","Sravan Kumar Lakkimsetti","blocker","Unable to access eclipse update sites from releng hipp"," ---",,"unspecified",0,
554183,"Capella","Core","roland.bary","VERIFIED","FIXED","Many useless Metadata checking","2016-12-07 10:37:07",,"Roland Bary",,"Polarsys",,,,"All",,,7,"2016-09-30 03:41:40","All",,"P2",,,"roland.bary","Roland Bary","blocker","Many useless Metadata checking","1.1.0",,"1.1.0",0,1211
121692,"WTP ServerTools","jst.server","deboer","CLOSED","FIXED","Resource change takes ~1 min","2017-10-11 15:56:08",,"Tim deBoer",,"WebTools",,,,"PC",,,29,"2005-12-21 02:00:05","Windows XP",,"P2",,,"igor","Igor Fedorenko","blocker","Resource change takes ~1 min","1.0.1 M101",,1.0,7,
410870,"EclipseLink","JPA","dmitry.kornilov","RESOLVED","FIXED","Schema per Tenant - References to RelationalDescriptor are not collected and cause OutOfMemory","2016-07-29 12:10:18",,"Dmitry Kornilov",498891,"EE4J",,,,"PC",,,16,"2013-06-15 02:23:50","Linux",,"P2",,,"eiswind","Thomas Kratz","blocker","Schema per Tenant - References to RelationalDescriptor are not collected and cause OutOfMemory","2.5.1",,"2.5.0",12,"multitenancy"
554189,"Capella","Core","roland.bary","VERIFIED","FIXED","Potential NPE when trying to get a resource on a session","2016-10-14 08:23:25",,"Roland Bary",,"Polarsys",,,,"All",,,7,"2016-10-11 07:21:09","All",,"P2",,,"roland.bary","Roland Bary","blocker","Potential NPE when trying to get a resource on a session","1.1.0",,"1.1.0",0,1246
512308,"Orion","Client","Silenio_Quarti","RESOLVED","FIXED","Weird ""too many files open"" error editing file on orion.eclipse.org","2017-04-07 16:46:13",,"Silenio Quarti",514343,"ECD",,,,"PC",,,11,"2017-02-16 11:24:18","Mac OS X",,"P2",,,"Michael_Rennie","Michael Rennie","blocker","Weird ""too many files open"" error editing file on orion.eclipse.org",15.0,,13.0,0,
129277,"z_Archived","TPTP","vishnu.naikawadi","CLOSED","FIXED","File Transfer is not working with Java Client execution framework","2016-05-05 10:41:10",,"Vishnu",,"Eclipse Foundation",,,,"PC",,,6,"2006-02-23 22:47:56","Windows XP",,"P2",,,"vishnu.naikawadi","Vishnu","blocker","File Transfer is not working with Java Client execution framework"," ---",,"unspecified",0,"closed460"
272786,"z_Archived","TPTP","ewchan","CLOSED","WORKSFORME","Tur3.5 & DBCS3.5 - The JVMTI agent org.eclipse.tptp.jvmti is not available","2016-05-05 10:40:34",,"Eugene Chan",,"Eclipse Foundation",,,,"PC",,,28,"2009-04-18 03:35:13","Linux",,"P2","kathy","Kathy Chan","hmkung","Steven Kung","blocker","Tur3.5 & DBCS3.5 - The JVMTI agent org.eclipse.tptp.jvmti is not available"," ---",,"unspecified",0,"enablement"
554780,"Capella","Diff-Merge","olivier.constant","RESOLVED","FIXED","Update Capella customization to sync with EDM 0.9.0","2017-09-22 10:44:05",,"Olivier Constant",,"Polarsys",,,,"All",,,2,"2017-09-20 04:08:33","All",,"P2",,,"olivier.constant","Olivier Constant","blocker","Update Capella customization to sync with EDM 0.9.0","1.2.0",,"1.2.0",0,1746
389436,"EclipseLink","JPA","eclipselink.orm-inbox","NEW"," ---","Using @Array Tag in postgreSql","2017-12-02 14:21:42",,"Project Inbox",,"EE4J",,,,"All",,,4,"2012-09-12 13:35:11","All",,"P2",,,"amirhoshangi","Amir Hooshangi","blocker","Using @Array Tag in postgreSql","Future",,2.4,2,"postgresql"
514257,"EPP","committers-package","epp.packager-inbox","RESOLVED","WORKSFORME","Marketplace client is missing in commiters-oxygen-M6 package due to uses constraint violation","2020-05-19 13:27:23",,"Project Inbox",,"Technology",,514149,,"PC",,,7,"2017-03-27 10:43:00","Mac OS X",,"P2",,,"mober.at+eclipse","Martin Oberhuber","blocker","Marketplace client is missing in commiters-oxygen-M6 package due to uses constraint violation","4.7.0M7",,"4.7.0",0,
532189,"Community","CI-Jenkins","ci.admin-inbox","CLOSED","WONTFIX","Random port conflicts","2018-04-23 12:01:52",,"CI Admin Inbox",,"Eclipse Foundation",,,,"PC",,,3,"2018-03-08 11:25:29","Mac OS X",,"P2",,,"yamini.k.b","Yamini K B","blocker","Random port conflicts"," ---",,"unspecified",0,
322292,"WTP ServerTools","wst.server","arvera","RESOLVED","FIXED","Preparing for e4 builds","2017-10-11 16:34:12",,"Angel Vera",,"WebTools",,,,"PC",,,4,"2010-08-10 17:08:14","Windows XP",,"P2","arvera","Angel Vera","arvera","Angel Vera","blocker","Preparing for e4 builds",3.3,,3.3,0,
120707,"WTP ServerTools","wst.server","deboer","CLOSED","FIXED","Downloadable server adapter requires restart","2017-10-11 17:02:16",,"Tim deBoer",,"WebTools",,,,"Macintosh",,,39,"2005-12-13 15:17:10","Mac OS X - Carbon (unsup.)",,"P2",,,"sppatel2","Sachin Patel","blocker","Downloadable server adapter requires restart","1.0.1 M101",,"1.0.1",0,
541098,"Community","CI-Jenkins","ci.admin-inbox","RESOLVED","FIXED","Need zip in Jenkins Linux Image","2018-11-14 09:28:07",,"CI Admin Inbox",,"Eclipse Foundation",,,,"PC",,,5,"2018-11-13 11:36:28","Windows 10",,"P2",,,"jan.supol","Jan Supol","blocker","Need zip in Jenkins Linux Image"," ---",,"unspecified",0,
155288,"z_Archived","TPTP","samwai","CLOSED","FIXED","(JDK) RAC fails to start when using IBM JRE 5.0 SR3 (Early Release) when older JREs precede it on the path","2016-05-05 10:52:29",,"Samson Wai",,"Eclipse Foundation",,,,"PC",,,11,"2006-08-25 17:56:10","Windows All",,"P2",,,"ashishkumarmathur","Ashish Mathur","blocker","(JDK) RAC fails to start when using IBM JRE 5.0 SR3 (Early Release) when older JREs precede it on the path"," ---",,"unspecified",0,"closed460"
149407,"WTP Releng","releng","david_williams","CLOSED","FIXED","Cannot update Eclipse 3.1.2 - 404 on remote reference","2018-06-29 15:21:26",,"David Williams",,"WebTools",,,,"PC",,,12,"2006-07-02 09:24:00","Windows XP",,"P2","david_williams","David Williams","elciempiesyeye","centipede","blocker","Cannot update Eclipse 3.1.2 - 404 on remote reference","3.10.0",,3.10,5,
555371,"Capella","RequirementsVP","christophe.gatti","RESOLVED","FIXED","Unable to import REQ-IF only requirements into Capella","2017-11-14 12:19:24",,"Christophe Gatti",,"Polarsys",,,,"All",,,8,"2017-05-16 04:46:22","All",,"P2",,,"christophe.gatti","Christophe Gatti","blocker","Unable to import REQ-IF only requirements into Capella","0.5.1",,"0.5.0",0,1599
271611,"z_Archived","PDT","spektom","CLOSED","DUPLICATE","Eclipse PDT 2.1M6 is frozen and consumes 100% CPU when activating code completion","2020-05-14 11:07:50",,"Michael Spector",,"Eclipse Foundation",,,,"PC","performance",,5,"2009-04-08 08:18:35","Windows XP",,"P2",,,"pcdinh","Dinh Pham","blocker","Eclipse PDT 2.1M6 is frozen and consumes 100% CPU when activating code completion"," ---",,"unspecified",0,
274338,"z_Archived","TPTP","paulslau","CLOSED","WORKSFORME","BIDI3.5 Can't create TPTP Junit Test","2016-05-05 10:32:39",,"Paul Slauenwhite",,"Eclipse Foundation",,,,"PC",,,11,"2009-04-29 12:28:19","Windows Vista",,"P2",,,"khouly","Mohamed El-Kholy","blocker","BIDI3.5 Can't create TPTP Junit Test"," ---",,"unspecified",0,
277527,"z_Archived","TPTP","jcayne","CLOSED","FIXED","Cannot configure ACServer to use a 1.4.2 jre","2016-05-05 11:01:59",,"Joel Cayne",,"Eclipse Foundation",,,"pmc_approved?, pmc_approved+, review+","PC",,,12,"2009-05-22 15:40:06","Windows XP",,"P2","kathy","Kathy Chan","haggarty","Alan Haggarty","blocker","Cannot configure ACServer to use a 1.4.2 jre"," ---",,"unspecified",0,"closed471"
516642,"Orion","Node","Silenio_Quarti","RESOLVED","FIXED","Can't create new files or folders when hosting single-user locally","2017-06-29 14:36:37",,"Silenio Quarti",,"ECD",,,,"PC",,,5,"2017-05-15 06:25:05","Windows 10",,"P2",,,"remy.suen","Remy Suen","blocker","Can't create new files or folders when hosting single-user locally",15.0,,14.0,0,
94174,"z_Archived","TPTP","apratt","CLOSED","FIXED","interface behind probekit UI extension point has become internal","2016-05-05 10:47:14",,"Allan Pratt",,"Eclipse Foundation",,,,"All",,,5,"2005-05-09 14:40:01","Windows XP",,"P2",,,"kcoleman","Kim Coleman","blocker","interface behind probekit UI extension point has become internal"," ---",,"unspecified",0,"closed460"
309134,"z_Archived","TPTP","paulslau","CLOSED","WORKSFORME","BIDI3.6: URL recording fails","2016-05-05 10:36:43",,"Paul Slauenwhite",,"Eclipse Foundation",,"308203, 310010",,"PC",,,24,"2010-04-14 10:19:42","Linux-GTK",,"P2","kathy","Kathy Chan","khouly","Mohamed El-Kholy","blocker","BIDI3.6: URL recording fails"," ---",,"unspecified",0,"adopter"
489483,"TCF","Target","tcf.tm-inbox","RESOLVED","FIXED","The TCF C/C++ Remote (over TCF/TE) Run/Debug Launcher is incompatible with CDT 9.0 Neon M6","2016-03-14 02:54:52",,"Project Inbox",,"Tools",,,,"PC",,,6,"2016-03-12 06:06:49","Linux",,"P2","uwe.st","Uwe Stieber","mober.at+eclipse","Martin Oberhuber","blocker","The TCF C/C++ Remote (over TCF/TE) Run/Debug Launcher is incompatible with CDT 9.0 Neon M6",1.4,,1.4,0,
140420,"EMF Services","Transaction","cbmcgee","VERIFIED","FIXED","propogate trigger command contexts to parent IUndoableOperation","2017-02-24 15:10:45",,"Chris McGee",,"Modeling",,,,"PC",,,7,"2006-05-05 15:04:25","Windows 2000",,"P2",,,"cvogt","Christian Vogt","critical","propogate trigger command contexts to parent IUndoableOperation"," ---",,"unspecified",0,
496944,"z_Archived","m2e","m2e.core-inbox","CLOSED","WONTFIX","m2e PluginExecutionException causedBy NoSuchElementException at org.eclipse.sisu.plexus.RealmFilteredBeans","2021-04-19 13:24:25",,"Project Inbox",,"Eclipse Foundation",,,,"PC",,,14,"2016-06-28 11:58:15","Linux",,"P2",,,"mike","Michael Vorburger","critical","m2e PluginExecutionException causedBy NoSuchElementException at org.eclipse.sisu.plexus.RealmFilteredBeans"," ---",,"unspecified",2,"stalebug"
