"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","OS","Priority","Severity","Summary"
145921,"java","Beans","jbecicka","NEW"," ---","Use standard editors code validation in ""Add Property"" dialog","2010-09-23 08:44:16","All","P2","blocker","Use standard editors code validation in ""Add Property"" dialog"
85522,"javaee","EJB","martin_adamek","NEW"," ---","Request for new MDB wizard","2007-06-18 10:07:45","All","P2","blocker","Request for new MDB wizard"
108439,"java","Source","moonko","NEW"," ---","Provide a method for running modification task when scan is finished","2009-02-03 10:53:45","All","P2","blocker","Provide a method for running modification task when scan is finished"
137255,"cnd","Editor","alexvsimon","NEW"," ---","Bring multiple extensions handling in consistency with NB new infrastructure","2009-11-12 06:17:01","All","P2","blocker","Bring multiple extensions handling in consistency with NB new infrastructure"
79100,"profiler","Base","issues","NEW"," ---","Profiling Points results aren't calibrated","2006-10-23 15:47:12","All","P2","blocker","Profiling Points results aren't calibrated"
171329,"contrib","Tasklist","lebedkov","NEW"," ---","NullPointerException at org.netbeans.modules.tasklist.usertasks.translators.HtmlExportFormat.copyResourceToFile","2010-01-13 03:49:19","All","P2","blocker","NullPointerException at org.netbeans.modules.tasklist.usertasks.translators.HtmlExportFormat.copyResourceToFile"
102164,"javaee","Persistence","abadea","NEW"," ---","Provide a method to obtain ElementHandle for the ""creating"" annotation","2007-04-24 09:39:35","All","P2","blocker","Provide a method to obtain ElementHandle for the ""creating"" annotation"
132799,"ide","Schema2Beans","schema2beans-issues","NEW"," ---","Problem with hash codes  and equals in in javabeans","2008-12-10 11:04:40","All","P2","blocker","Problem with hash codes  and equals in in javabeans"
70755,"javaee","EJB","martin_adamek","NEW"," ---","Delete ejb-ref element from visual editor","2009-11-10 06:49:50","All","P2","blocker","Delete ejb-ref element from visual editor"
161284,"serverplugins","WebSphere","phejl","NEW"," ---","[WSphere] WebSphere is not recognized by ide","2012-12-06 13:43:40","All","P2","blocker","[WSphere] WebSphere is not recognized by ide"
96143,"javaee","Code","ppisl","NEW"," ---","Review UI related to the removal of the JSF 1.1 library","2007-02-21 12:40:45","All","P2","blocker","Review UI related to the removal of the JSF 1.1 library"
124638,"webservices","Code","mkuchtiak","NEW"," ---","FAST: Cannot use multiple ports for different EJB WS deployments from IDE","2008-01-20 01:31:16","All","P2","blocker","FAST: Cannot use multiple ports for different EJB WS deployments from IDE"
57979,"db","Code","lfischmeistr","NEW"," ---","Support for automatically generated values","2014-09-23 19:01:05","All","P2","blocker","Support for automatically generated values"
154742,"db","Show Data","lfischmeistr","NEW"," ---","Add ability to import data from CSV","2013-08-01 12:52:39","All","P2","blocker","Add ability to import data from CSV"
93870,"obsolete","visualweb","craigmcc","NEW"," ---","Support for setting a Faces bean's facet","2007-12-07 16:41:15","All","P2","blocker","Support for setting a Faces bean's facet"
118509,"obsolete","visualweb","gowri","REOPENED"," ---","NPW while trying to open url property editor of hyperlink","2009-03-26 14:57:27","All","P2","blocker","NPW while trying to open url property editor of hyperlink"
36586,"debugger","Code","mentlicher","NEW"," ---","Add support for text messages in Views.","2011-11-24 09:46:43","All","P2","blocker","Add support for text messages in Views."
148240,"installer","Code","lfischmeistr","NEW"," ---","Information about Publisher should be present","2014-02-10 14:15:33","Windows XP","P2","blocker","Information about Publisher should be present"
87567,"versioncontrol","Code","ovrabec","NEW"," ---","rename project should offer to rename in subversion","2014-06-05 12:20:06","All","P2","blocker","rename project should offer to rename in subversion"
109916,"obsolete","visualweb","pzavadsky","NEW"," ---","Visual Web Designer with a web project using an""Existing Ant Script""","2007-12-05 15:57:37","Windows XP","P2","blocker","Visual Web Designer with a web project using an""Existing Ant Script"""
138597,"xml","Code","issues","NEW"," ---","UI/Compiler error: ""incorrect message type"" when using multiple wsdls sharing same namespace","2008-11-19 19:29:57","All","P2","blocker","UI/Compiler error: ""incorrect message type"" when using multiple wsdls sharing same namespace"
80707,"webservices","JAX-WS","issues","NEW"," ---","Recognize Provider web services as web services","2007-05-14 21:38:10","All","P2","blocker","Recognize Provider web services as web services"
173299,"javaee","Refactoring","issues","NEW"," ---","Java EE refactoring - umbrella","2010-07-12 15:21:44","All","P2","blocker","Java EE refactoring - umbrella"
103501,"obsolete","visualweb","deva","NEW"," ---","RFE: default to navigation.xml for imported projects","2007-05-21 23:48:32","All","P2","blocker","RFE: default to navigation.xml for imported projects"
133987,"uml","General","issues","NEW"," ---","UML 6.5 VOC candidates","2008-06-27 19:16:34","All","P2","blocker","UML 6.5 VOC candidates"
72231,"versioncontrol","CVS","issues","NEW"," ---","javacvs lib does not support sserver connections","2007-01-04 17:14:01","All","P2","blocker","javacvs lib does not support sserver connections"
162639,"soa","XSLT","slunegov","NEW"," ---","XSLT editor Does Not Allow Adding Fault Handler","2009-04-15 08:14:40","All","P2","blocker","XSLT editor Does Not Allow Adding Fault Handler"
97231,"uml","General Diagram","issues","NEW"," ---","[55cat] forward and back buttons to improve navigation between UML diagrams","2007-03-14 03:03:22","All","P2","blocker","[55cat] forward and back buttons to improve navigation between UML diagrams"
126300,"webservices","REST","petertliu","NEW"," ---","User need explicit control to turn on/off REST support for each project","2008-07-17 22:23:36","All","P2","blocker","User need explicit control to turn on/off REST support for each project"
60615,"java","Project","tzezula","NEW"," ---","provide/allow junit test source in main project source src folders not just test src","2011-08-31 14:05:56","All","P2","blocker","provide/allow junit test source in main project source src folders not just test src"
155471,"java","Hints","sdedic","NEW"," ---","eager expectation-driven development","2013-09-02 14:21:46","All","P2","blocker","eager expectation-driven development"
94077,"obsolete","visualweb","wjprakash","NEW"," ---","I18N - RFE - provide additional features for VB expressions as to i18n","2007-03-05 21:23:07","Solaris","P2","blocker","I18N - RFE - provide additional features for VB expressions as to i18n"
120989,"contrib","Terminal","abadea","NEW"," ---","Move the options from Advanced Options to the Miscellaneous panel","2007-11-02 16:14:06","All","P2","blocker","Move the options from Advanced Options to the Miscellaneous panel"
42365,"obsolete","vcsgeneric","mentlicher","NEW"," ---","User home directory parameter is incorrect, confusing & arbitrary","2006-12-04 21:10:33","Other","P2","blocker","User home directory parameter is incorrect, confusing & arbitrary"
150212,"db","Code","lfischmeistr","NEW"," ---","Connection to not running server is not added","2013-09-04 08:22:56","All","P2","blocker","Connection to not running server is not added"
89177,"javame"," -- Other --","issues","NEW"," ---","Provide Security Manager functionality via API","2009-02-19 22:31:53","All","P2","blocker","Provide Security Manager functionality via API"
111713,"xml","Schema Tools","sonali","NEW"," ---","Refactor doesn't allow to delete few elements.","2007-08-09 18:17:20","Windows XP","P2","blocker","Refactor doesn't allow to delete few elements."
139526,"javaee","Spring","marfous","NEW"," ---","viewClass property in spring config should be in refactoring scenario","2012-02-24 09:37:51","All","P2","blocker","viewClass property in spring config should be in refactoring scenario"
81482,"platform","Window System","issues","NEW"," ---","[floating] Allow to create floating windows  with editors and windows","2010-08-11 13:29:26","All","P2","blocker","[floating] Allow to create floating windows  with editors and windows"
175399,"soa"," -- Other --","vchellasamy","NEW"," ---","Need support to run HTTPS test cases from netbeans/","2009-10-26 19:23:17","Windows XP","P2","blocker","Need support to run HTTPS test cases from netbeans/"
104541,"soa","Composite Application","tli","NEW"," ---","Implement WSIT support in CASA","2007-05-22 18:47:43","All","P2","blocker","Implement WSIT support in CASA"
