"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","OS","Priority","Severity","Summary"
136886,"profiler","Base","issues","NEW"," ---","How to get profile Snapshot data by command line","2009-05-25 21:03:39","Linux","P1","blocker","How to get profile Snapshot data by command line"
112250,"guibuilder","Code","issues","NEW"," ---","Component morphing","2013-07-08 22:33:23","All","P1","blocker","Component morphing"
83889,"uml","Project","issues","NEW"," ---","feature to import and export uml project","2006-09-19 23:31:17","All","P1","blocker","feature to import and export uml project"
171236,"third-party"," -- Other --","issues","NEW"," ---","IDM : Customizing User Forms & Interface","2009-09-07 10:07:02","Windows XP","P1","blocker","IDM : Customizing User Forms & Interface"
141777,"java","Refactoring","ralphbenjamin","NEW"," ---","Java Search","2016-03-25 13:28:58","All","P1","blocker","Java Search"
118955,"webservices","Code","mkuchtiak","NEW"," ---","Provide web service unit testing facility","2007-10-16 04:52:37","All","P1","blocker","Provide web service unit testing facility"
90114,"versioncontrol","CVS","issues","NEW"," ---","more CVS support in CND","2009-02-27 17:11:30","All","P1","blocker","more CVS support in CND"
33334,"guibuilder","Code","issues","NEW"," ---","Auto-generated code/documentation disregard editor settings","2006-10-25 17:03:27","All","P1","blocker","Auto-generated code/documentation disregard editor settings"
148731,"contrib","Java3D","issues","NEW"," ---","missing required module during Java3D plug in installation","2008-09-30 12:58:47","Windows XP","P1","blocker","missing required module during Java3D plug in installation"
122431,"ruby","Platform","issues","NEW"," ---","Make the Solaris Express distribution of ruby the default when on Solaris","2011-01-28 20:11:14","All","P1","blocker","Make the Solaris Express distribution of ruby the default when on Solaris"
96323,"platform","Window System","issues","NEW"," ---","Need ability to dock and undock TopComponents programmatically to/from a Frame or Dialog","2013-05-23 21:07:19","All","P1","blocker","Need ability to dock and undock TopComponents programmatically to/from a Frame or Dialog"
47511,"java","Platform","tzezula","NEW"," ---","Support for native libraries in the library manager","2011-08-31 14:05:31","All","P1","blocker","Support for native libraries in the library manager"
151983,"groovy","Grails","schmidtm","NEW"," ---","[cc] Provide CC for Grails specific methods/fields","2015-04-03 01:04:13","All","P1","blocker","[cc] Provide CC for Grails specific methods/fields"
125213,"ide","Extbrowser","jstola","NEW"," ---","Improve debuggability of the extbrowser module","2015-01-28 13:47:15","All","P1","blocker","Improve debuggability of the extbrowser module"
100693,"webservices","JAX-WS","rcruz","NEW"," ---","Integration of services API for client consumption","2008-04-14 17:15:52","Windows XP","P1","blocker","Integration of services API for client consumption"
69424,"editor","Macros","sdedic","NEW"," ---","Allow to run macros without assigned shortcut","2013-10-13 11:55:35","All","P1","blocker","Allow to run macros without assigned shortcut"
156853,"javaee","Wicket","issues","REOPENED"," ---","NullPointerException at org.netbeans.modules.web.wicket.tree.AddToMarkupContainerFinder.visitMethodInvocation","2016-02-02 07:51:44","Windows 7 x64","P1","blocker","NullPointerException at org.netbeans.modules.web.wicket.tree.AddToMarkupContainerFinder.visitMethodInvocation"
133899,"contrib","Erlang","dcaoyuan","NEW"," ---","java.io.IOException: Cannot run program ""erl"": CreateProcess error=2, ?????????","2012-02-29 12:01:44","All","P1","blocker","java.io.IOException: Cannot run program ""erl"": CreateProcess error=2, ?????????"
104473,"ruby","Debugger","issues","NEW"," ---","Add support for remote debugging","2011-01-28 20:10:28","All","P1","blocker","Add support for remote debugging"
